City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iqaluit,63.7506,-68.5145,254.09,77,20,2.57,CA,1699846917
84,naze,28.3667,129.4833,291.66,64,96,8.76,JP,1699846917
85,port mathurin,-19.6833,63.4167,298.32,78,0,2.01,MU,1699846744
86,batarasa,8.6617,117.6222,303.87,65,9,3.74,PH,1699846917
87,longyearbyen,78.2186,15.6401,267.06,73,75,8.75,SJ,1699846918
88,juan griego,11.0817,-63.9655,299.81,84,100,5.93,VE,1699846918
89,acarau,-2.8856,-40.12,298.86,78,0,5.94,BR,1699846886
90,uray,60.1247,64.7758,270.3,94,97,1.34,RU,1699846918
91,dzhalagash,45.0833,64.6667,278.25,71,6,0.85,KZ,1699846918
92,susuman,62.7833,148.1667,244.99,97,92,0.41,RU,1699846765
93,vorgashor,67.5833,63.95,262.61,97,95,2.7,RU,1699846918
94,lebu,-37.6167,-73.65,281.1,74,0,6.25,CL,1699846744
95,albany,42.6001,-73.9662,271.33,81,0,1.44,US,1699846918
96,zaysan,47.4667,84.8667,275.82,87,100,1.57,KZ,1699846919
97,port hedland,-20.3167,118.5667,304.18,51,14,7.72,AU,1699846919
98,zhob,31.3411,69.4481,287.96,27,7,1.74,PK,1699846919
99,basoko,1.2391,23.616,293.35,97,81,0.77,CD,1699846919
100,g'azalkent,41.5581,69.7708,281.02,37,73,2.55,UZ,1699846919
101,kerikeri,-35.2268,173.9474,292.45,53,31,3.84,NZ,1699846685
102,bhadrakh,21.0528,86.52,301.05,48,49,3.28,IN,1699846919
103,tengrela,10.4869,-6.4097,296.65,53,23,0.26,CI,1699846919
104,natal,-5.795,-35.2094,297.27,83,20,3.09,BR,1699846919
105,nova vicosa,-17.8919,-39.3719,297.42,84,1,6.68,BR,1699846920
106,borovichi,58.3878,33.9155,276.49,94,100,1.79,RU,1699846920
107,nema,57.5067,50.5011,275.02,94,100,6.43,RU,1699846920
108,elliot lake,46.3834,-82.6331,277.55,89,100,6.32,CA,1699846790
109,brookings,44.3114,-96.7984,279.36,57,0,2.57,US,1699846626
110,bathsheba,13.2167,-59.5167,301.49,83,40,7.72,BB,1699846920
111,ketchikan,55.3422,-131.6461,280.14,61,0,2.57,US,1699846920
112,punta arenas,-53.15,-70.9167,282.21,61,75,7.2,CL,1699846675
113,san patricio,28.017,-97.5169,290.84,97,100,5.6,US,1699846920
114,jamestown,42.097,-79.2353,275.95,77,0,0.45,US,1699846675
115,sitka,57.0531,-135.33,275.09,87,0,0.0,US,1699846921
116,kaohsiung,22.6163,120.3133,302.12,64,40,3.09,TW,1699846921
117,nalut,30.3333,10.85,288.56,38,0,3.35,LY,1699846921
118,leo,11.1,-2.1,296.74,18,70,3.31,BF,1699846921
119,yangquan,37.8575,113.5633,279.66,23,100,4.29,CN,1699846921
120,tchintabaraden,15.8969,5.7985,295.52,15,4,4.73,NE,1699846921
121,al jawf,29.5,38.75,294.49,43,99,0.61,SA,1699846921
122,norak,38.3892,69.3227,280.99,37,62,2.15,TJ,1699846921
123,georgetown,5.4112,100.3354,305.9,74,20,2.57,MY,1699846922
124,qaqortoq,60.7167,-46.0333,264.26,91,26,1.05,GL,1699846922
125,lompoc,34.6391,-120.4579,288.47,82,0,2.57,US,1699846741
126,parabel',58.6978,81.4825,270.88,98,94,1.79,RU,1699846922
127,pampierstad,-27.7832,24.6877,290.26,34,1,2.93,ZA,1699846922
128,revda,56.801,59.9303,273.93,85,100,1.5,RU,1699846922
129,loikaw,19.6742,97.2094,298.15,77,70,1.19,MM,1699846923
130,kuusamo,65.9667,29.1833,269.17,93,100,3.09,FI,1699846923
131,lakatoro,-16.0999,167.4164,299.2,71,100,8.59,VU,1699846923
132,cururupu,-1.8283,-44.8683,296.34,88,0,1.61,BR,1699846745
133,magong,23.5654,119.5863,293.34,78,95,18.84,TW,1699846923
134,puerto ayora,-0.7393,-90.3518,297.9,92,77,2.68,EC,1699846923
135,dudinka,69.4058,86.1778,270.75,96,100,5.36,RU,1699846924
136,arno,60.1167,18.6333,276.36,97,100,4.97,SE,1699846924
137,avarua,-21.2078,-159.775,296.18,68,99,3.09,CK,1699846752
138,ta`u,-14.2336,-169.5144,301.22,77,26,3.19,AS,1699846924
139,stanley,54.868,-1.6985,280.11,95,100,2.57,GB,1699846924
140,yendi,9.4427,-0.0099,298.9,62,30,2.24,GH,1699846924
141,hermanus,-34.4187,19.2345,287.18,87,14,4.45,ZA,1699846925
142,quibdo,5.6947,-76.6611,296.9,99,100,0.66,CO,1699846850
143,kachug,53.9606,105.8817,268.18,97,59,0.45,RU,1699846925
144,byron bay,-28.65,153.6167,297.43,74,79,5.41,AU,1699846925
145,behshahr,36.6923,53.5526,285.12,41,100,2.06,IR,1699846925
146,agadez,19.75,10.25,292.53,23,0,3.73,NE,1699846789
147,greymouth,-42.4667,171.2,288.05,85,100,4.67,NZ,1699846926
148,pitimbu,-7.4706,-34.8086,297.48,79,17,2.26,BR,1699846926
149,iskateley,67.6803,53.1512,261.49,94,44,2.24,RU,1699846745
150,thompson,55.7435,-97.8558,271.24,100,100,1.03,CA,1699846926
151,puerto madryn,-42.7692,-65.0385,285.7,36,66,5.49,AR,1699846926
152,hawaiian paradise park,19.5933,-154.9731,296.88,92,100,0.45,US,1699846926
153,arraial do cabo,-22.9661,-42.0278,297.14,88,93,2.42,BR,1699846667
154,leu,44.1833,24.0,273.33,100,0,2.06,RO,1699846927
155,el porvenir,13.7617,-87.3458,296.78,80,99,3.01,HN,1699846927
156,pertuis,43.6925,5.5028,286.55,90,26,1.93,FR,1699846927
157,bilibino,68.0546,166.4372,256.45,98,100,2.44,RU,1699846927
158,usogorsk,63.4106,48.6872,266.85,97,99,5.68,RU,1699846927
159,happy valley-goose bay,53.3168,-60.3315,270.32,68,75,5.66,CA,1699846927
160,abepura,-2.6333,140.5833,308.6,46,20,3.6,ID,1699846927
161,auki,-8.7676,160.7034,301.18,74,100,1.22,SB,1699846929
162,timbuktu,16.7735,-3.0074,297.1,11,0,5.08,ML,1699846749
163,isiolo,0.3546,37.5822,293.66,83,96,0.84,KE,1699846929
164,hoshiarpur,31.5322,75.9172,293.52,50,3,0.62,IN,1699846929
165,boke,10.9409,-14.2967,296.54,96,8,0.92,GN,1699846929
166,mburucuya,-28.0454,-58.2245,298.09,85,68,5.07,AR,1699846929
167,talnakh,69.4865,88.3972,268.82,97,100,2.87,RU,1699846930
168,dzilam gonzalez,21.2833,-88.9333,297.39,87,76,3.0,MX,1699846930
169,arawa,-6.2132,155.5367,303.93,62,21,0.62,PG,1699846930
170,ilulissat,69.2167,-51.1,260.16,66,20,1.54,GL,1699846930
171,whitehorse,60.7161,-135.0538,269.58,80,100,3.6,CA,1699846930
172,fale old settlement,-9.3852,-171.2468,302.56,68,57,1.5,TK,1699846930
173,vadso,70.0744,29.7487,268.24,80,20,1.54,NO,1699846931
174,syktyvkar,61.6764,50.8099,273.1,100,100,5.0,RU,1699846931
175,krasnovishersk,60.4078,57.082,273.02,94,100,2.25,RU,1699846931
176,gibsons,49.3997,-123.5027,282.15,91,100,4.42,CA,1699846931
177,palikir - national government center,6.9248,158.1611,304.56,74,100,2.57,FM,1699846931
178,shimoda,34.6667,138.95,287.35,76,90,5.85,JP,1699846932
179,boulder city,35.9786,-114.8325,288.51,26,0,2.06,US,1699846932
180,mount isa,-20.7333,139.5,311.02,20,6,6.17,AU,1699846932
181,lihue,21.9789,-159.3672,300.73,74,75,8.23,US,1699846932
182,pokaran,26.9167,71.9167,296.66,29,79,3.13,IN,1699846932
183,sao tome,0.3365,6.7273,299.45,85,31,3.31,ST,1699846933
184,chalisgaon,20.4667,75.0167,298.6,29,92,1.62,IN,1699846933
185,big bend,-26.8167,31.9333,292.4,77,100,1.95,SZ,1699846933
186,hammerfest,70.6634,23.6821,265.4,67,14,0.51,NO,1699846934
